opt, p1, p2, p3, p4
1, 1, 0.400001, 0.997674, 0.591912
2, 1, 0.400001, 0.997506, 0.571132
3, 1, 0.400235, 0.498178, 0.694526
4, 1, 0.400149, 0.500874, 0.194403
