opt, p1, p2, p3, p4
1, 0.0200069, 0.519686, 0.503209, 0.75219
2, 0.0200071, 0.519685, 0.502949, 0.252185
3, 0.02, 0.519999, 0.00185638, 0.741405
4, 0.02, 0.52, 0.00319959, 0.227051
