opt, p1, p2, p3, p4
1, 1, 0.779999, 0.996386, 0.629579
2, 1, 0.779999, 0.996393, 0.625828
3, 1, 0.780017, 0.490754, 0.883124
4, 1, 0.780392, 0.498706, 0.381935
