opt, p1, p2, p3, p4
1, 0.200068, 0.559963, 0.58981, 0.77243
2, 0.200089, 0.560061, 0.593535, 0.273118
3, 0.199986, 0.560045, 0.0933753, 0.772578
4, 0.199979, 0.560048, 0.0947503, 0.27129
