opt, p1, p2, p3, p4
1, 0.660003, 1, 0.822368, 0.992954
2, 0.660121, 1, 0.825125, 0.496001
3, 0.659994, 1, 0.301568, 0.991197
4, 0.660137, 1, 0.324365, 0.489859
