opt, p1, p2, p3, p4
1, 0.860015, 0.219977, 0.927593, 0.60587
2, 0.860014, 0.219994, 0.928416, 0.107578
3, 0.859594, 0.219929, 0.426289, 0.605193
4, 0.860143, 0.219975, 0.431248, 0.106004
