opt, p1, p2, p3, p4
1, 0.479985, 0.899945, 0.731111, 0.941993
2, 0.480291, 0.899867, 0.733827, 0.44351
3, 0.479985, 0.899949, 0.232342, 0.941773
4, 0.480268, 0.900052, 0.234321, 0.439465
