opt, p1, p2, p3, p4
1, 0.719947, 0.339967, 0.856173, 0.667038
2, 0.72007, 0.340025, 0.855766, 0.164886
3, 0.720229, 0.339893, 0.356906, 0.666771
4, 0.719942, 0.339943, 0.35925, 0.164897
