opt, p1, p2, p3, p4
1, 0.979987, 0.100002, 0.988952, 0.548041
2, 0.979999, 0.1, 0.98849, 0.0533636
3, 0.979456, 0.100033, 0.488453, 0.547304
4, 0.980013, 0.099992, 0.500149, 0.0464798
