opt, p1, p2, p3, p4
1, 0.78002, 0.920018, 0.88128, 0.954658
2, 0.780087, 0.919932, 0.886565, 0.457782
3, 0.779957, 0.919951, 0.375652, 0.952127
4, 0.780313, 0.920882, 0.386454, 0.452365
