opt, p1, p2, p3, p4
1, 0.0800444, 0.219912, 0.531787, 0.601478
2, 0.0799889, 0.219983, 0.528897, 0.103393
3, 0.0799956, 0.219984, 0.0332509, 0.60759
4, 0.0800013, 0.220001, 0.0343777, 0.102548
