opt, p1, p2, p3, p4
1, 0.239991, 0.860043, 0.612382, 0.921797
2, 0.240171, 0.859603, 0.6143, 0.422078
3, 0.239994, 0.860027, 0.111861, 0.920699
4, 0.240016, 0.860153, 0.113913, 0.415064
