opt, p1, p2, p3, p4
1, 0.299878, 0.419933, 0.643394, 0.70344
2, 0.299913, 0.419938, 0.644334, 0.204135
3, 0.299989, 0.41995, 0.143371, 0.703467
4, 0.300032, 0.419963, 0.144635, 0.204019
