opt, p1, p2, p3, p4
1, 0.839929, 0.340034, 0.917732, 0.666815
2, 0.840016, 0.339991, 0.91732, 0.170537
3, 0.839861, 0.339886, 0.417987, 0.665458
4, 0.839878, 0.339929, 0.419854, 0.16486
