opt, p1, p2, p3, p4
1, 0.5, 0.580063, 0.744211, 0.784399
2, 0.5, 0.580066, 0.746406, 0.285563
3, 0.5, 0.580062, 0.244047, 0.781255
4, 0.5, 0.580066, 0.246116, 0.281488
