opt, p1, p2, p3, p4
1, 0.13997, 0.759823, 0.564879, 0.872209
2, 0.140006, 0.76044, 0.565458, 0.373644
3, 0.140006, 0.760008, 0.0621108, 0.867647
4, 0.140012, 0.759908, 0.0630537, 0.367154
