opt, p1, p2, p3, p4
1, 0.40018, 0.280032, 0.694617, 0.635943
2, 0.399938, 0.279998, 0.693836, 0.13317
3, 0.400059, 0.279909, 0.195052, 0.634266
4, 0.399959, 0.280024, 0.197978, 0.133956
