opt, p1, p2, p3, p4
1, 0.320156, 0.080039, 0.65484, 0.535432
2, 0.319985, 0.0799962, 0.651491, 0.0361757
3, 0.31997, 0.0799924, 0.155291, 0.534095
4, 0.320006, 0.0800015, 0.15936, 0.0354918
