opt, p1, p2, p3, p4
1, 0.719958, 0.379919, 0.856204, 0.686357
2, 0.720087, 0.379944, 0.857392, 0.187213
3, 0.7203, 0.379932, 0.355537, 0.684158
4, 0.720023, 0.379908, 0.358368, 0.184017
