opt, p1, p2, p3, p4
1, 0.239994, 0.979985, 0.614541, 0.980714
2, 0.240179, 0.980007, 0.612421, 0.482837
3, 0.240002, 0.979995, 0.112795, 0.980268
4, 0.240041, 0.980279, 0.112607, 0.475539
