opt, p1, p2, p3, p4
1, 0.339997, 1, 0.659113, 0.990911
2, 0.339879, 1, 0.663964, 0.491915
3, 0.339997, 1, 0.156644, 0.990123
4, 0.339917, 1, 0.163679, 0.487774
