opt, p1, p2, p3, p4
1, 0.540035, 0.459965, 0.764464, 0.725704
2, 0.540035, 0.459966, 0.765085, 0.22512
3, 0.540036, 0.459965, 0.265596, 0.724096
4, 0.540035, 0.459966, 0.267702, 0.223921
