opt, p1, p2, p3, p4
1, 0.779992, 0.399945, 0.886213, 0.695891
2, 0.779924, 0.399967, 0.887421, 0.197877
3, 0.779863, 0.400191, 0.386363, 0.693919
4, 0.779852, 0.400077, 0.388719, 0.19333
