opt, p1, p2, p3, p4
1, 0.340024, 0.879913, 0.661815, 0.931718
2, 0.339884, 0.87985, 0.663693, 0.433327
3, 0.339996, 0.879944, 0.160538, 0.93098
4, 0.339927, 0.880221, 0.163487, 0.428515
