opt, p1, p2, p3, p4
1, 0.0400007, 1, 0.499554, 0.989446
2, 0.040026, 1, 0.512513, 0.489399
3, 0.04, 1, 0.0100108, 0.990369
4, 0.0400008, 1, 0.0124556, 0.461579
