opt, p1, p2, p3, p4
1, 0.580067, 0.319975, 0.785119, 0.657094
2, 0.580052, 0.320014, 0.787193, 0.155553
3, 0.580069, 0.32006, 0.285737, 0.6533
4, 0.580059, 0.319969, 0.286721, 0.154757
