opt, p1, p2, p3, p4
1, 0.740002, 1, 0.859364, 0.993155
2, 0.740183, 1, 0.865774, 0.494319
3, 0.739994, 1, 0.339372, 0.991284
4, 0.739464, 1, 0.366809, 0.490997
