opt, p1, p2, p3, p4
1, 1, 0.1, 0.998982, 0.491109
2, 1, 0.1, 0.998909, 0.548102
3, 1, 0.100024, 0.497761, 0.546382
4, 1, 0.0999917, 0.508085, 0.0462149
