opt, p1, p2, p3, p4
1, 0.800031, 0.800031, 0.899994, 0.899772
2, 0.799879, 0.799879, 0.899646, 0.399091
3, 0.799879, 0.799879, 0.399534, 0.89927
4, 0.800487, 0.800487, 0.399162, 0.399566
