opt, p1, p2, p3, p4
1, 0.359988, 0.959975, 0.678766, 0.971417
2, 0.359953, 0.960666, 0.673873, 0.473892
3, 0.359991, 0.959987, 0.168859, 0.970263
4, 0.360079, 0.960435, 0.175001, 0.465954
