opt, p1, p2, p3, p4
1, 0.260009, 0.87991, 0.619239, 0.931642
2, 0.259825, 0.879752, 0.623209, 0.433286
3, 0.260006, 0.879966, 0.120711, 0.931073
4, 0.259946, 0.880015, 0.123945, 0.426837
