opt, p1, p2, p3, p4
1, 0.600062, 0.740113, 0.793841, 0.863748
2, 0.599822, 0.740189, 0.79623, 0.364399
3, 0.599995, 0.740152, 0.293214, 0.861981
4, 0.599755, 0.740203, 0.296127, 0.360881
