opt, p1, p2, p3, p4
1, 0.279966, 0.0600436, 0.637052, 0.525666
2, 0.280014, 0.0599984, 0.632204, 0.0258205
3, 0.279922, 0.0600182, 0.135177, 0.525937
4, 0.279999, 0.0599999, 0.133603, 0.0249688
