opt, p1, p2, p3, p4
1, 0.740129, 0.540032, 0.865435, 0.766118
2, 0.740137, 0.540032, 0.86706, 0.268163
3, 0.740196, 0.539911, 0.36569, 0.764894
4, 0.740199, 0.539827, 0.367758, 0.262793
