opt, p1, p2, p3, p4
1, 0.0400168, 0.439943, 0.512535, 0.712191
2, 0.040009, 0.440114, 0.516226, 0.213164
3, 0.0400007, 0.440002, 0.0121021, 0.718651
4, 0.0400006, 0.440002, 0.0132136, 0.206673
