opt, p1, p2, p3, p4
1, 0.5, 1, 0.745619, 0.991775
2, 0.5, 1, 0.743688, 0.493211
3, 0.5, 1, 0.235245, 0.99082
4, 0.5, 1, 0.244583, 0.490883
