opt, p1, p2, p3, p4
1, 0.339894, 0.320098, 0.664129, 0.652908
2, 0.339958, 0.319948, 0.66499, 0.155354
3, 0.339946, 0.319935, 0.164548, 0.655445
4, 0.340029, 0.320011, 0.166053, 0.151163
