opt, p1, p2, p3, p4
1, 0.63994, 0.540034, 0.815134, 0.765792
2, 0.639908, 0.540034, 0.815974, 0.266279
3, 0.639957, 0.540036, 0.314089, 0.764573
4, 0.640025, 0.539951, 0.316905, 0.262703
