opt, p1, p2, p3, p4
1, 0.79989, 0.340015, 0.896192, 0.664208
2, 0.799979, 0.34, 0.897358, 0.165812
3, 0.800426, 0.339888, 0.394005, 0.664954
4, 0.800072, 0.339932, 0.397795, 0.163305
