opt, p1, p2, p3, p4
1, 0.519797, 0.419938, 0.756481, 0.706587
2, 0.519912, 0.419945, 0.75844, 0.206833
3, 0.519785, 0.419938, 0.255384, 0.704476
4, 0.5199, 0.419945, 0.256935, 0.202866
