opt, p1, p2, p3, p4
1, 0.119999, 1, 0.550352, 0.98976
2, 0.120094, 1, 0.552717, 0.490502
3, 0.12, 1, 0.0475723, 0.989639
4, 0.119996, 1, 0.0525714, 0.482183
