opt, p1, p2, p3, p4
1, 0.839996, 0.859999, 0.913714, 0.924959
2, 0.839911, 0.860083, 0.916746, 0.431267
3, 0.839918, 0.860057, 0.409811, 0.922617
4, 0.839857, 0.859585, 0.417299, 0.422782
