"belief_benef_low","belief_benef_high","max_invest","value_AM_infty"
0.06,0.46,22,6.2133901168
0.06,0.48,22,6.2257713744
0.06,0.5,23,6.23823202
0.06,0.52,24,6.2507578928
0.06,0.54,24,6.2633648424
0.06,0.56,24,6.2759507792
0.06,0.58,25,6.2884937568
0.06,0.6,25,6.30119676
0.06,0.62,26,6.3137476392
0.06,0.64,26,6.3261717408
0.06,0.66,27,6.3389746968
0.06,0.68,27,6.3515849184
0.06,0.7,27,6.36427758
0.06,0.72,28,6.376967368
0.06,0.74,28,6.3896363856
0.06,0.76,28,6.4022916448
0.06,0.78,28,6.4150111664
0.06,0.8,29,6.427738232
0.06,0.82,29,6.4404723232
0.06,0.84,29,6.4531876208
0.06,0.86,30,6.4659503624
0.06,0.88,30,6.4787313952
0.06,0.9,30,6.491481428
0.06,0.92,30,6.5042589008
0.06,0.94,31,6.5170363448
0.06,0.96,31,6.5298140032
0.06,0.98,31,6.5425916616
0.06,1,31,6.54813148
0.08,0,0,5.99996
0.08,0.02,0,5.99998596
0.08,0.04,0,6.00002392
0.08,0.06,0,6.00004788
0.08,0.08,0,6.00005184
0.08,0.1,0,6.006880312
0.08,0.12,0,6.015943904
0.08,0.14,2,6.0250429056
0.08,0.16,7,6.0345355296
0.08,0.18,5,6.0448496576
0.08,0.2,8,6.056547296
0.08,0.22,10,6.0680186944
0.08,0.24,12,6.0797847072
0.08,0.26,13,6.0916441376
0.08,0.28,14,6.103315648
0.08,0.3,16,6.114941896
0.08,0.32,17,6.12681544
0.08,0.34,18,6.1392389856
0.08,0.36,18,6.15159672
0.08,0.38,19,6.163937736
0.08,0.4,20,6.176369152
0.08,0.42,21,6.1887922592
0.08,0.44,21,6.2012718784
0.08,0.46,22,6.2136455744
0.08,0.48,22,6.2259910368
0.08,0.5,23,6.2383818
0.08,0.52,24,6.2509216032
0.08,0.54,24,6.2635390128
0.08,0.56,24,6.2761761728
0.08,0.58,25,6.2887895664
0.08,0.6,25,6.301403408
0.08,0.62,26,6.3140119888
0.08,0.64,26,6.3265894336
0.08,0.66,27,6.339189992
0.08,0.68,27,6.3517871744
0.08,0.7,27,6.364452976
0.08,0.72,28,6.3771161792
0.08,0.74,28,6.3898153264
0.08,0.76,28,6.4025215936
0.08,0.78,28,6.4151583616
0.08,0.8,29,6.427806176
0.08,0.82,29,6.440496
0.08,0.84,29,6.4531971264
0.08,0.86,30,6.4660192176
0.08,0.88,30,6.4787815328
0.08,0.9,30,6.491532304
0.08,0.92,30,6.5043175712
0.08,0.94,31,6.5170895664
0.08,0.96,31,6.5298682976
0.08,0.98,31,6.542647032
0.08,1,31,6.54921288
0.1,0,0,6.0129094
0.1,0.02,0,6.013271896
0.1,0.04,0,6.013013232
0.1,0.06,0,6.013872624
0.1,0.08,0,6.013909032
0.1,0.1,0,6.02007974
0.1,0.12,5,6.0289606
0.1,0.14,2,6.037927276
0.1,0.16,5,6.047241728
0.1,0.18,8,6.0573122
0.1,0.2,10,6.06852148
0.1,0.22,12,6.080058792
0.1,0.24,13,6.091327216
0.1,0.26,14,6.102669276
0.1,0.28,15,6.114071376
0.1,0.3,16,6.12556136
0.1,0.32,17,6.13687668
0.1,0.34,18,6.149345292
0.1,0.36,19,6.161353016
0.1,0.38,20,6.17353172
0.1,0.4,21,6.18569748
0.1,0.42,21,6.19763406
0.1,0.44,22,6.209599584
0.1,0.46,22,6.221850924
0.1,0.48,23,6.233986376
0.1,0.5,23,6.2460914
0.1,0.52,24,6.25829212
0.1,0.54,24,6.270601284
0.1,0.56,25,6.282952704
0.1,0.58,25,6.295236284
0.1,0.6,26,6.30732556
0.1,0.62,26,6.319803908
0.1,0.64,26,6.332264376
0.1,0.66,27,6.344577836
0.1,0.68,27,6.357084112
0.1,0.7,27,6.36933222
0.1,0.72,28,6.381723144
0.1,0.74,28,6.394066864
0.1,0.76,28,6.406559432
0.1,0.78,29,6.418921828
0.1,0.8,29,6.43140808
0.1,0.82,29,6.443894984
0.1,0.84,29,6.456383248
0.1,0.86,30,6.468688052
0.1,0.88,30,6.481197048
0.1,0.9,30,6.49335492
0.1,0.92,30,6.505981664
0.1,0.94,31,6.518086276
0.1,0.96,31,6.53088692
0.1,0.98,31,6.543381452
0.1,1,31,6.550213
0.12,0,3,6.02692816
0.12,0.02,4,6.0273785936
0.12,0.04,4,6.0274163776
0.12,0.06,4,6.0277389472
0.12,0.08,4,6.0281124672
0.12,0.1,7,6.03371028
0.12,0.12,4,6.0426043392
0.12,0.14,6,6.0515442608
0.12,0.16,8,6.0605534496
0.12,0.18,10,6.071568704
0.12,0.2,12,6.08295872
0.12,0.22,13,6.0944926368
0.12,0.24,15,6.1058603872
0.12,0.26,16,6.1174741168
0.12,0.28,17,6.128775488
0.12,0.3,18,6.140206616
0.12,0.32,18,6.1515844352
0.12,0.34,19,6.1641717632
0.12,0.36,20,6.1761639712
0.12,0.38,21,6.1880573888
0.12,0.4,21,6.200648416
0.12,0.42,22,6.2128902912
0.12,0.44,22,6.2246648544
0.12,0.46,23,6.2373019888
0.12,0.48,23,6.24937208
0.12,0.5,24,6.26156732
0.12,0.52,24,6.2738563712
0.12,0.54,25,6.2861510672
0.12,0.56,25,6.298446144
0.12,0.58,26,6.3108516928
0.12,0.6,26,6.323415232
0.12,0.62,26,6.3358559072
0.12,0.64,27,6.3479432416
0.12,0.66,27,6.3606871712
0.12,0.68,27,6.3730810464
0.12,0.7,28,6.385356336
0.12,0.72,28,6.39782552
0.12,0.74,28,6.4100734304
0.12,0.76,29,6.422615744
0.12,0.78,29,6.43517168
0.12,0.8,29,6.44777488
0.12,0.82,30,6.460190704
0.12,0.84,30,6.4728243872
0.12,0.86,30,6.4852034352
0.12,0.88,30,6.4977451808
0.12,0.9,31,6.510217696
0.12,0.92,31,6.5228212064
0.12,0.94,31,6.53523344
0.12,0.96,31,6.54754464
0.12,0.98,31,6.5598998816
0.12,1,32,6.5676808
0.14,0,3,6.04073716
0.14,0.02,3,6.040925572
0.14,0.04,3,6.0406693824
0.14,0.06,4,6.0419568032
0.14,0.08,4,6.042205784
0.14,0.1,5,6.047534128
0.14,0.12,8,6.0565104064
0.14,0.14,9,6.0654386416
0.14,0.16,11,6.07469288
0.14,0.18,12,6.0858878416
0.14,0.2,14,6.097199064
0.14,0.22,15,6.1085467656
0.14,0.24,16,6.1208440768
0.14,0.26,17,6.131486076
0.14,0.28,18,6.1429906704
0.14,0.3,19,6.154567352
0.14,0.32,19,6.1670695088
0.14,0.34,20,6.179150096
0.14,0.36,21,6.1912278688
0.14,0.38,21,6.2036133392
0.14,0.4,22,6.21558284
0.14,0.42,23,6.2278641544
0.14,0.44,23,6.2402559296
0.14,0.46,24,6.2525132792
0.14,0.48,24,6.2644737088
0.14,0.5,25,6.27686862
0.14,0.52,25,6.2891619072
0.14,0.54,25,6.301674832
0.14,0.56,26,6.313923712
0.14,0.58,26,6.3259975344
0.14,0.6,27,6.339158776
0.14,0.62,27,6.3516646368
0.14,0.64,27,6.3641030416
0.14,0.66,28,6.3764052504
0.14,0.68,28,6.3889241776
0.14,0.7,28,6.40129962
0.14,0.72,28,6.4136774432
0.14,0.74,29,6.4261452672
0.14,0.76,29,6.4385543488
0.14,0.78,29,6.4513969848
0.14,0.8,30,6.463966216
0.14,0.82,30,6.4765591776
0.14,0.84,30,6.4890811216
0.14,0.86,30,6.5016047112
0.14,0.88,31,6.5142956992
0.14,0.9,31,6.526688404
0.14,0.92,31,6.5393592224
0.14,0.94,31,6.552082468
0.14,0.96,31,6.5642913376
0.14,0.98,32,6.5767459296
0.14,1,32,6.5803104
0.16,0,7,6.0545212
0.16,0.02,7,6.055274032
0.16,0.04,7,6.0562137152
0.16,0.06,8,6.0562451088
0.16,0.08,8,6.0568235168
