"","belief_benef_low","belief_benef_high","value_AM_infty","max_invest"
"1",0,0,6,0
"2",0,0.02,6,0
"3",0,0.04,6,0
"4",0,0.06,6,0
"5",0,0.08,6,0
"6",0,0.1,6,0
"7",0,0.12,6,0
"8",0,0.14,6,0
"9",0,0.16,6.01043577981651,0
"10",0,0.18,6.02320814220184,0
"11",0,0.2,6.03598050458716,2.32833957308903
"12",0,0.22,6.04875286697248,6.00682774583505
"13",0,0.24,6.0615252293578,8.65119264884848
"14",0,0.26,6.07429759174312,10.7170665769534
"15",0,0.28,6.08706995412844,12.412674421464
"16",0,0.3,6.09984231651376,13.8507837970296
"17",0,0.32,6.11261467889908,15.0993899683064
"18",0,0.34,6.1253870412844,16.2026703689251
"19",0,0.36,6.13815940366972,17.190954531284
"20",0,0.38,6.15093176605505,18.0859681129441
"21",0,0.4,6.16370412844037,18.9038079086284
"22",0,0.42,6.17647649082569,19.6567326989643
"23",0,0.44,6.18924885321101,20.3542940703871
"24",0,0.46,6.20202121559633,21.0040791808186
"25",0,0.48,6.21479357798165,21.6122150573115
"26",0,0.5,6.22756594036697,22.1837207816084
"27",0,0.52,6.24033830275229,22.7227595031614
"28",0,0.54,6.25311066513761,23.232822637693
"29",0,0.56,6.26588302752294,23.7168670353777
"30",0,0.58,6.27865538990826,24.1774188308485
"31",0,0.6,6.29142775229358,24.6166532383324
"32",0,0.62,6.3042001146789,25.0364566831416
"33",0,0.64,6.31697247706422,25.4384757633469
"34",0,0.66,6.32974483944954,25.8241562557157
"35",0,0.68,6.34251720183486,26.1947745005265
"36",0,0.7,6.35528956422018,26.5514628851153
"37",0,0.72,6.3680619266055,26.895230709569
"38",0,0.74,6.38083428899083,27.2269814037026
"39",0,0.76,6.39360665137615,27.5475268351634
"40",0,0.78,6.40637901376147,27.8575992791955
"41",0,0.8,6.41915137614679,28.1578614941655
"42",0,0.82,6.43192373853211,28.4489152515603
"43",0,0.84,6.44469610091743,28.731308596502
"44",0,0.86,6.45746846330275,29.0055420589564
"45",0,0.88,6.47024082568807,29.2720739925157
"46",0,0.9,6.48301318807339,29.5313251837933
"47",0,0.92,6.49578555045872,29.7836828488364
"48",0,0.94,6.50855791284404,30.02950411185
"49",0,0.96,6.52133027522936,30.2691190446754
"50",0,0.98,6.53410263761468,30.5028333319417
"51",0,1,6.546875,30.7309306158847
"52",0.02,0,6,0
"53",0.02,0.02,6,0
"54",0.02,0.04,6,0
"55",0.02,0.06,6,0
"56",0.02,0.08,6,0
"57",0.02,0.1,6,0
"58",0.02,0.12,6,0
"59",0.02,0.14,6,0
