"","belief_benef_low","belief_benef_high","value_AM_infty","max_invest"
"1",0,0,6,0
"2",0,0.02,6,0
"3",0,0.04,6,0
"4",0,0.06,6,0
"5",0,0.08,6,0
"6",0,0.1,6,0
"7",0,0.12,6,0
"8",0,0.14,6.00370986238532,0
"9",0,0.16,6.01655963302752,0
"10",0,0.18,6.02940940366973,0
"11",0,0.2,6.04225917431193,4.31405589215933
"12",0,0.22,6.05510894495413,7.41461319917461
"13",0,0.24,6.06795871559633,9.74784493113388
"14",0,0.26,6.08080848623853,11.6191835180335
"15",0,0.28,6.09365825688073,13.1816282574289
"16",0,0.3,6.10650802752294,14.5228523589257
"17",0,0.32,6.11935779816514,15.6978000023466
"18",0,0.34,6.13220756880734,16.7431886461308
"19",0,0.36,6.14505733944954,17.6847740733215
"20",0,0.38,6.15790711009174,18.541321502773
"21",0,0.4,6.17075688073395,19.3269268307167
"22",0,0.42,6.18360665137615,20.0524478226255
"23",0,0.44,6.19645642201835,20.7264257775971
"24",0,0.46,6.20930619266055,21.3557009497212
"25",0,0.48,6.22215596330275,21.9458362611787
"26",0,0.5,6.23500573394496,22.5014167856146
"27",0,0.52,6.24785550458716,23.026266299177
"28",0,0.54,6.26070527522936,23.5236070175174
"29",0,0.56,6.27355504587156,23.996179517272
"30",0,0.58,6.28640481651376,24.4463341877894
"31",0,0.6,6.29925458715596,24.8761019573567
"32",0,0.62,6.31210435779817,25.2872496867414
"33",0,0.64,6.32495412844037,25.6813240535907
"34",0,0.66,6.33780389908257,26.0596866830836
"35",0,0.68,6.35065366972477,26.4235425400546
"36",0,0.7,6.36350344036697,26.7739630765052
"37",0,0.72,6.37635321100917,27.1119052557458
"38",0,0.74,6.38920298165138,27.4382273043481
"39",0,0.76,6.40205275229358,27.7537018448944
"40",0,0.78,6.41490252293578,28.0590269153657
"41",0,0.8,6.42775229357798,28.3548352705812
"42",0,0.82,6.44060206422018,28.6417022773941
"43",0,0.84,6.45345183486239,28.9201526512966
"44",0,0.86,6.46630160550459,29.1906662326549
"45",0,0.88,6.47915137614679,29.4536829623209
"46",0,0.9,6.49200114678899,29.7096071862031
"47",0,0.92,6.50485091743119,29.9588113945501
"48",0,0.94,6.5177006880734,30.2016394827555
"49",0,0.96,6.5305504587156,30.4384096053238
"50",0,0.98,6.5434002293578,30.6694166824301
"51",0,1,6.55625,30.894934608617
"52",0.02,0,6,0
"53",0.02,0.02,6,0
"54",0.02,0.04,6,0
"55",0.02,0.06,6,0
"56",0.02,0.08,6,0
"57",0.02,0.1,6,0
"58",0.02,0.12,6,0
