"belief_benef_low","belief_benef_high","value_AM_infty","max_invest","policy"
0,0,7.36,0,"1-1"
0,0.02,7.36,0,"1-1"
0,0.04,7.36,0,"1-1"
0,0.06,7.36,0,"1-1"
0,0.08,7.36,0,"1-1"
0,0.1,7.36,0,"1-1"
0,0.12,7.36,0,"1-1"
0,0.14,7.36107798165138,0,"2-2"
0,0.16,7.36954128440367,0,"2-2"
0,0.18,7.37800458715597,0,"2-2"
0,0.2,7.38646788990826,0,"2-2"
0,0.22,7.39493119266055,1.95184218469292,"2-2"
0,0.24,7.40339449541285,4.63263715667159,"2-2"
0,0.26,7.41185779816514,6.72062125701104,"2-2"
0,0.28,7.42032110091743,8.43107582724248,"2-2"
0,0.3,7.42878440366973,9.8798427230368,"2-2"
0,0.32,7.43724770642202,11.1364710566579,"2-2"
0,0.34,7.44571100917431,12.2460082006246,"2-2"
0,0.36,7.45417431192661,13.2393086881909,"2-2"
0,0.38,7.4626376146789,14.138433784797,"2-2"
0,0.4,7.47110091743119,14.959704838944,"2-2"
0,0.42,7.47956422018349,15.7155365566308,"2-2"
0,0.44,7.48802752293578,16.4155921781608,"2-2"
0,0.46,7.49649082568808,17.0675409148312,"2-2"
0,0.48,7.50495412844037,17.6775714460774,"2-2"
0,0.5,7.51341743119266,18.2507500743882,"2-2"
0,0.52,7.52188073394495,18.7912767275863,"2-2"
0,0.54,7.53034403669725,19.3026718926972,"2-2"
0,0.56,7.53880733944954,19.787915702446,"2-2"
0,0.58,7.54727064220184,20.2495531577791,"2-2"
0,0.6,7.55573394495413,20.6897749226851,"2-2"
0,0.62,7.56419724770642,21.1104801955804,"2-2"
0,0.64,7.57266055045872,21.5133262265786,"2-2"
0,0.66,7.58112385321101,21.899767746151,"2-2"
0,0.68,7.5895871559633,22.2710886754411,"2-2"
0,0.7,7.5980504587156,22.6284278632134,"2-2"
0,0.72,7.60651376146789,22.9728001508191,"2-2"
0,0.74,7.61497706422019,23.3051137473411,"2-2"
0,0.76,7.62344036697248,23.6261846643258,"2-2"
0,0.78,7.63190366972477,23.9367487877362,"2-2"
0,0.8,7.64036697247707,24.2374720365574,"2-2"
0,0.82,7.64883027522936,24.5289589608105,"2-2"
0,0.84,7.65729357798165,24.8117600581105,"2-2"
0,0.86,7.66575688073395,25.0863780313359,"2-2"
0,0.88,7.67422018348624,25.3532731661461,"2-2"
0,0.9,7.68268348623853,25.6128679728462,"2-2"
0,0.92,7.69114678899083,25.865551210154,"2-2"
0,0.94,7.69961009174312,26.1116813870793,"2-2"
0,0.96,7.70807339449541,26.3515898220919,"2-2"
0,0.98,7.71653669724771,26.5855833250886,"2-2"
0,1,7.725,26.8139465566284,"2-2"
0.02,0,7.36,0,"1-1"
0.02,0.02,7.36,0,"1-1"
0.02,0.04,7.36,0,"1-1"
0.02,0.06,7.36,0,"1-1"
0.02,0.08,7.36,0,"1-1"
0.02,0.1,7.36,0,"1-1"
0.02,0.12,7.36,0,"1-1"
0.02,0.14,7.36107798165138,0,"2-2"
0.02,0.16,7.36954128440367,0,"2-2"
0.02,0.18,7.37800458715596,0,"2-2"
0.02,0.2,7.38646788990826,0,"2-2"
0.02,0.22,7.39493119266055,1.95184218469292,"2-2"
0.02,0.24,7.40339449541285,4.63263715667159,"2-2"
0.02,0.26,7.41185779816514,6.7206212570107,"2-2"
0.02,0.28,7.42032110091743,8.43107582724248,"2-2"
0.02,0.3,7.42878440366973,9.8798427230368,"2-2"
0.02,0.32,7.43724770642202,11.1364710566579,"2-2"
0.02,0.34,7.44571100917431,12.2460082006246,"2-2"
0.02,0.36,7.45417431192661,13.2393086881909,"2-2"
0.02,0.38,7.4626376146789,14.1384337847969,"2-2"
0.02,0.4,7.47110091743119,14.959704838944,"2-2"
0.02,0.42,7.47956422018349,15.7155365566308,"2-2"
0.02,0.44,7.48802752293578,16.4155921781608,"2-2"
0.02,0.46,7.49649082568808,17.0675409148312,"2-2"
0.02,0.48,7.50495412844037,17.6775714460773,"2-2"
0.02,0.5,7.51341743119266,18.2507500743882,"2-2"
0.02,0.52,7.52188073394496,18.7912767275863,"2-2"
0.02,0.54,7.53034403669725,19.3026718926973,"2-2"
0.02,0.56,7.53880733944954,19.787915702446,"2-2"
0.02,0.58,7.54727064220184,20.2495531577791,"2-2"
0.02,0.6,7.55573394495413,20.6897749226851,"2-2"
0.02,0.62,7.56419724770642,21.1104801955805,"2-2"
0.02,0.64,7.57266055045872,21.5133262265786,"2-2"
0.02,0.66,7.58112385321101,21.8997677461509,"2-2"
0.02,0.68,7.5895871559633,22.271088675441,"2-2"
0.02,0.7,7.5980504587156,22.6284278632134,"2-2"
0.02,0.72,7.60651376146789,22.9728001508191,"2-2"
0.02,0.74,7.61497706422018,23.305113747341,"2-2"
0.02,0.76,7.62344036697248,23.6261846643258,"2-2"
0.02,0.78,7.63190366972477,23.9367487877362,"2-2"
0.02,0.8,7.64036697247707,24.2374720365574,"2-2"
0.02,0.82,7.64883027522936,24.5289589608105,"2-2"
0.02,0.84,7.65729357798165,24.8117600581105,"2-2"
0.02,0.86,7.66575688073395,25.0863780313358,"2-2"
0.02,0.88,7.67422018348624,25.3532731661461,"2-2"
0.02,0.9,7.68268348623853,25.6128679728462,"2-2"
0.02,0.92,7.69114678899083,25.865551210154,"2-2"
0.02,0.94,7.69961009174312,26.1116813870793,"2-2"
0.02,0.96,7.70807339449541,26.3515898220919,"2-2"
0.02,0.98,7.71653669724771,26.5855833250885,"2-2"
0.02,1,7.725,26.8139465566284,"2-2"
0.04,0,7.36,0,"1-1"
0.04,0.02,7.36,0,"1-1"
0.04,0.04,7.36,0,"1-1"
0.04,0.06,7.36,0,"1-1"
0.04,0.08,7.36,0,"1-1"
0.04,0.1,7.36,0,"1-1"
0.04,0.12,7.36,0,"1-1"
0.04,0.14,7.36107798165138,0,"2-2"
0.04,0.16,7.36954128440367,0,"2-2"
0.04,0.18,7.37800458715596,0,"2-2"
0.04,0.2,7.38646788990826,0,"2-2"
0.04,0.22,7.39493119266055,1.95184218469292,"2-2"
0.04,0.24,7.40339449541285,4.63263715667159,"2-2"
0.04,0.26,7.41185779816514,6.7206212570107,"2-2"
0.04,0.28,7.42032110091743,8.43107582724248,"2-2"
0.04,0.3,7.42878440366973,9.8798427230368,"2-2"
0.04,0.32,7.43724770642202,11.1364710566579,"2-2"
0.04,0.34,7.44571100917431,12.2460082006246,"2-2"
0.04,0.36,7.45417431192661,13.2393086881907,"2-2"
0.04,0.38,7.4626376146789,14.1384337847969,"2-2"
0.04,0.4,7.47110091743119,14.9597048389439,"2-2"
0.04,0.42,7.47956422018349,15.7155365566308,"2-2"
0.04,0.44,7.48802752293578,16.4155921781608,"2-2"
0.04,0.46,7.49649082568807,17.067540914831,"2-2"
0.04,0.48,7.50495412844037,17.6775714460774,"2-2"
0.04,0.5,7.51341743119266,18.2507500743882,"2-2"
0.04,0.52,7.52188073394495,18.7912767275862,"2-2"
0.04,0.54,7.53034403669725,19.3026718926972,"2-2"
0.04,0.56,7.53880733944954,19.787915702446,"2-2"
0.04,0.58,7.54727064220184,20.2495531577791,"2-2"
0.04,0.6,7.55573394495413,20.6897749226852,"2-2"
0.04,0.62,7.56419724770642,21.1104801955804,"2-2"
0.04,0.64,7.57266055045872,21.5133262265786,"2-2"
0.04,0.66,7.58112385321101,21.8997677461509,"2-2"
0.04,0.68,7.5895871559633,22.2710886754411,"2-2"
0.04,0.7,7.5980504587156,22.6284278632134,"2-2"
0.04,0.72,7.60651376146789,22.9728001508192,"2-2"
