"1-1",2392,0.1,0.1
"1-2",129,0.1,0.1
"2-1",2,0.1,0.1
"2-2",78,0.1,0.1
"1-1",1275,0.1,0.2
"1-2",1315,0.1,0.2
"2-2",11,0.1,0.2
"1-1",956,0.1,0.3
"1-2",1628,0.1,0.3
"2-2",17,0.1,0.3
"1-1",760,0.1,0.4
"1-2",1815,0.1,0.4
"2-2",26,0.1,0.4
"1-1",561,0.1,0.5
"1-2",2002,0.1,0.5
"2-2",38,0.1,0.5
"1-1",408,0.1,0.6
"1-2",2136,0.1,0.6
"2-2",57,0.1,0.6
"1-1",306,0.1,0.7
"1-2",2214,0.1,0.7
"2-2",81,0.1,0.7
"1-1",204,0.1,0.8
"1-2",2274,0.1,0.8
"2-2",123,0.1,0.8
"1-1",101,0.1,0.9
"1-2",2321,0.1,0.9
"2-1",1,0.1,0.9
"2-2",178,0.1,0.9
"1-1",2359,0.2,0.1
"1-2",130,0.2,0.1
"2-1",7,0.2,0.1
"2-2",105,0.2,0.1
"1-1",1220,0.2,0.2
"1-2",1183,0.2,0.2
"2-1",75,0.2,0.2
"2-2",123,0.2,0.2
"1-1",737,0.2,0.3
"1-2",1363,0.2,0.3
"2-1",268,0.2,0.3
"2-2",233,0.2,0.3
"1-1",510,0.2,0.4
"1-2",1439,0.2,0.4
"2-1",258,0.2,0.4
"2-2",394,0.2,0.4
"1-1",396,0.2,0.5
"1-2",1825,0.2,0.5
"2-1",198,0.2,0.5
"2-2",182,0.2,0.5
"1-1",264,0.2,0.6
"1-2",1752,0.2,0.6
"2-1",162,0.2,0.6
"2-2",423,0.2,0.6
"1-1",198,0.2,0.7
"1-2",1869,0.2,0.7
"2-1",108,0.2,0.7
"2-2",426,0.2,0.7
"1-1",193,0.2,0.8
"1-2",2069,0.2,0.8
"2-1",7,0.2,0.8
"2-2",332,0.2,0.8
"1-1",80,0.2,0.9
"1-2",2075,0.2,0.9
"2-1",10,0.2,0.9
"2-2",436,0.2,0.9
"1-1",2319,0.3,0.1
"1-2",130,0.3,0.1
"2-1",17,0.3,0.1
"2-2",135,0.3,0.1
"1-1",775,0.3,0.2
"1-2",896,0.3,0.2
"2-1",507,0.3,0.2
"2-2",423,0.3,0.2
"1-1",551,0.3,0.3
"1-2",963,0.3,0.3
"2-1",418,0.3,0.3
"2-2",669,0.3,0.3
"1-1",420,0.3,0.4
"1-2",1051,0.3,0.4
"2-1",345,0.3,0.4
"2-2",785,0.3,0.4
"1-1",297,0.3,0.5
"1-2",1132,0.3,0.5
"2-1",285,0.3,0.5
"2-2",887,0.3,0.5
"1-1",212,0.3,0.6
"1-2",1177,0.3,0.6
"2-1",204,0.3,0.6
"2-2",1008,0.3,0.6
"1-1",150,0.3,0.7
"1-2",1212,0.3,0.7
"2-1",156,0.3,0.7
"2-2",1083,0.3,0.7
"1-1",100,0.3,0.8
"1-2",1245,0.3,0.8
"2-1",104,0.3,0.8
"2-2",1152,0.3,0.8
"1-1",48,0.3,0.9
"1-2",1275,0.3,0.9
"2-1",54,0.3,0.9
"2-2",1224,0.3,0.9
"1-1",1272,0.4,0.1
"1-2",103,0.4,0.1
"2-1",1063,0.4,0.1
"2-2",163,0.4,0.1
"1-1",625,0.4,0.2
"1-2",680,0.4,0.2
"2-1",650,0.4,0.2
"2-2",646,0.4,0.2
"1-1",437,0.4,0.3
"1-2",792,0.4,0.3
"2-1",532,0.4,0.3
"2-2",840,0.4,0.3
"1-1",330,0.4,0.4
"1-2",842,0.4,0.4
"2-1",435,0.4,0.4
"2-2",994,0.4,0.4
"1-1",252,0.4,0.5
"1-2",886,0.4,0.5
"2-1",358,0.4,0.5
"2-2",1105,0.4,0.5
"1-1",180,0.4,0.6
"1-2",930,0.4,0.6
"2-1",275,0.4,0.6
"2-2",1216,0.4,0.6
"1-1",120,0.4,0.7
"1-2",957,0.4,0.7
"2-1",186,0.4,0.7
"2-2",1338,0.4,0.7
"1-1",76,0.4,0.8
"1-2",972,0.4,0.8
"2-1",128,0.4,0.8
"2-2",1425,0.4,0.8
"1-1",38,0.4,0.9
"1-2",994,0.4,0.9
"2-1",64,0.4,0.9
"2-2",1505,0.4,0.9
"1-1",1037,0.5,0.1
"1-2",85,0.5,0.1
"2-1",1280,0.5,0.1
"2-2",199,0.5,0.1
"1-1",500,0.5,0.2
"1-2",538,0.5,0.2
"2-1",775,0.5,0.2
"2-2",788,0.5,0.2
"1-1",342,0.5,0.3
"1-2",619,0.5,0.3
"2-1",627,0.5,0.3
"2-2",1013,0.5,0.3
"1-1",255,0.5,0.4
"1-2",663,0.5,0.4
"2-1",510,0.5,0.4
"2-2",1173,0.5,0.4
"1-1",192,0.5,0.5
"1-2",690,0.5,0.5
"2-1",417,0.5,0.5
"2-2",1302,0.5,0.5
"1-1",144,0.5,0.6
"1-2",714,0.5,0.6
"2-1",312,0.5,0.6
"2-2",1431,0.5,0.6
"1-1",90,0.5,0.7
"1-2",741,0.5,0.7
"2-1",216,0.5,0.7
"2-2",1554,0.5,0.7
"1-1",60,0.5,0.8
"1-2",754,0.5,0.8
"2-1",144,0.5,0.8
"2-2",1643,0.5,0.8
"1-1",28,0.5,0.9
"1-2",762,0.5,0.9
"2-1",74,0.5,0.9
"2-2",1737,0.5,0.9
"1-1",791,0.6,0.1
"1-2",76,0.6,0.1
"2-1",1485,0.6,0.1
"2-2",249,0.6,0.1
"1-1",375,0.6,0.2
"1-2",412,0.6,0.2
"2-1",900,0.6,0.2
"2-2",914,0.6,0.2
"1-1",280,0.6,0.3
"1-2",462,0.6,0.3
"2-1",722,0.6,0.3
"2-2",1137,0.6,0.3
"1-1",195,0.6,0.4
"1-2",507,0.6,0.4
"2-1",570,0.6,0.4
"2-2",1329,0.6,0.4
